title,link,snippet
Dynamic Jacobi graph and trend-aware flow attention convolutional network for traffic forecasting,https://www.sciencedirect.com/science/article/pii/S1051200423002518,"Traffic forecasting which has attracted wide attention is the critical issue of the intelligent transportation systems. However, despite its prominent achievements, there are still some …"
FEDAF: frequency enhanced decomposed attention free transformer for long time series forecasting,https://link.springer.com/article/10.1007/s00521-024-09937-y,"Long time series forecasting (LTSF), which involves modeling relationships within long time series to predict future values, has extensive applications in domains such as weather …"
Noise-Aware Optimization for Mobile Crowdsensing-Based Travel Time Estimation,https://ieeexplore.ieee.org/abstract/document/10301479/,Predicting the estimated time of arrival (ETA) is crucial for ride-hailing platforms and autonomous vehicle systems. Although deep neural network-based models have …
WEST GCN-LSTM: Weighted Stacked Spatio-Temporal Graph Neural Networks for Regional Traffic Forecasting,https://arxiv.org/abs/2405.00570,"Regional traffic forecasting is a critical challenge in urban mobility, with applications to various fields such as the Internet of Everything. In recent years, spatio-temporal graph …"
Foresight plus: serverless spatio-temporal traffic forecasting,https://link.springer.com/article/10.1007/s10707-024-00517-9,Building a real-time spatio-temporal forecasting system is a challenging problem with many practical applications such as traffic and road network management. Most forecasting …
Deep Spatial Domain Generalization,https://ieeexplore.ieee.org/abstract/document/10027666/,"Spatial autocorrelation and spatial heterogeneity widely exist in spatial data, which make the traditional machine learning model perform badly. Spatial domain generalization is a spatial …"
Importance of equivariant and invariant symmetries for fluid flow modeling,https://arxiv.org/abs/2307.05486,"Graph neural networks (GNNs) have shown promise in learning unstructured mesh-based simulations of physical systems, including fluid dynamics. In tandem, geometric deep …"
When Graph Neural Networks Meet Dynamic Mode Decomposition,https://arxiv.org/abs/2410.05593,Graph Neural Networks (GNNs) have emerged as fundamental tools for a wide range of prediction tasks on graph-structured data. Recent studies have drawn analogies between …
Multi‐scale learning for fine‐grained traffic flow‐based travel time estimation prediction,https://onlinelibrary.wiley.com/doi/abs/10.1111/coin.12693,"In intelligent transportation systems (ITS), achieving accurate travel time estimation (TTE) is paramount, much like route planning. Precisely predicting travel time across different urban …"
An Overview Based on the Overall Architecture of Traffic Forecasting,https://link.springer.com/article/10.1007/s41019-024-00246-x,"With the exponential increase in the urban population, urban transportation systems are confronted with numerous challenges. Traffic congestion is common, traffic accidents …"
Scalable and Sustainable Graph-based Traffic Prediction with Adaptive Deep Learning,https://ieeexplore.ieee.org/abstract/document/10571386/,"Graph-based deep learning models are becoming prevalent for data-driven traffic prediction in the past years, due to their competence in exploiting the non-Euclidean spatial-temporal …"
Learning to transfer for traffic forecasting via multi-task learning,https://arxiv.org/abs/2111.15542,"Deep neural networks have demonstrated superior performance in short-term traffic forecasting. However, most existing traffic forecasting systems assume that the training and …"
Dual-domain Collaborative Denoising for Social Recommendation,https://arxiv.org/abs/2405.04942,"Social recommendation leverages social network to complement user-item interaction data for recommendation task, aiming to mitigate the data sparsity issue in recommender …"
Deep Sequence Learning for Prediction of Daily NO2 Concentration in Coastal Cities of Northern China,https://www.mdpi.com/2073-4433/14/3/467,Nitrogen dioxide (NO2) is an important precursor of atmospheric aerosol. Forecasting urban NO2 concentration is vital for effective control of air pollution. This paper proposes a hybrid …
Conformal Load Prediction with Transductive Graph Autoencoders,https://arxiv.org/abs/2406.08281,"Predicting edge weights on graphs has various applications, from transportation systems to social networks. This paper describes a Graph Neural Network (GNN) approach for edge …"
Incorporating Domain Differential Equations into Graph Convolutional Networks to Lower Generalization Discrepancy,https://arxiv.org/abs/2404.01217,"Ensuring both accuracy and robustness in time series prediction is critical to many applications, ranging from urban planning to pandemic management. With sufficient training …"
